,strain,gene,genotype,growth_rate
82246,seg_27A,gene_3265,Wild isolate,5.28242374561404
82247,seg_27A,gene_3279,Wild isolate,5.28242374561404
82248,seg_27A,gene_3292,Wild isolate,5.28242374561404
82249,seg_27A,gene_3305,Wild isolate,5.28242374561404
82250,seg_27A,gene_3319,Wild isolate,5.28242374561404
82251,seg_27A,gene_3332,Wild isolate,5.28242374561404
82252,seg_27A,gene_3345,Wild isolate,5.28242374561404
82253,seg_27A,gene_3359,Wild isolate,5.28242374561404
82254,seg_27A,gene_3372,Wild isolate,5.28242374561404
82255,seg_27A,gene_3385,Wild isolate,5.28242374561404
82256,seg_27A,gene_3399,Wild isolate,5.28242374561404
82257,seg_27A,gene_3412,Wild isolate,5.28242374561404
82258,seg_27A,gene_3425,Wild isolate,5.28242374561404
82259,seg_27A,gene_3439,Wild isolate,5.28242374561404
82260,seg_27A,gene_3452,Lab strain,5.28242374561404
82261,seg_27A,gene_3465,Lab strain,5.28242374561404
82262,seg_27A,gene_3479,Lab strain,5.28242374561404
82263,seg_27A,gene_3492,Lab strain,5.28242374561404
82264,seg_27A,gene_3505,Lab strain,5.28242374561404
82265,seg_27A,gene_3519,Lab strain,5.28242374561404
82266,seg_27A,gene_3532,Lab strain,5.28242374561404
82267,seg_27A,gene_3545,Lab strain,5.28242374561404
82268,seg_27A,gene_3559,Lab strain,5.28242374561404
82269,seg_27A,gene_3572,Lab strain,5.28242374561404
82270,seg_27A,gene_3585,Lab strain,5.28242374561404
82271,seg_27A,gene_3599,Lab strain,5.28242374561404
82272,seg_27A,gene_3612,Lab strain,5.28242374561404
82273,seg_27A,gene_3625,Lab strain,5.28242374561404
82274,seg_27A,gene_3639,Lab strain,5.28242374561404
82275,seg_27A,gene_3652,Lab strain,5.28242374561404
82276,seg_27A,gene_3665,Lab strain,5.28242374561404
82277,seg_27A,gene_3679,Lab strain,5.28242374561404
82278,seg_27A,gene_3692,Lab strain,5.28242374561404
82279,seg_27A,gene_3705,Lab strain,5.28242374561404
82280,seg_27A,gene_3719,Wild isolate,5.28242374561404
82281,seg_27A,gene_3732,Lab strain,5.28242374561404
82282,seg_27A,gene_3745,Lab strain,5.28242374561404
82283,seg_27A,gene_3759,Lab strain,5.28242374561404
82284,seg_27A,gene_3772,Lab strain,5.28242374561404
82285,seg_27A,gene_3785,Lab strain,5.28242374561404
82286,seg_27A,gene_3799,Lab strain,5.28242374561404
82287,seg_27A,gene_3812,Lab strain,5.28242374561404
82288,seg_27A,gene_3825,Lab strain,5.28242374561404
82289,seg_27A,gene_3838,Lab strain,5.28242374561404
82290,seg_27A,gene_3852,Lab strain,5.28242374561404
82291,seg_27A,gene_3865,Lab strain,5.28242374561404
82292,seg_27A,gene_3878,Lab strain,5.28242374561404
82293,seg_27A,gene_3892,Lab strain,5.28242374561404
82294,seg_27A,gene_3905,Lab strain,5.28242374561404
82295,seg_27A,gene_3918,Lab strain,5.28242374561404
82296,seg_27A,gene_3932,Lab strain,5.28242374561404
82297,seg_27A,gene_3945,Lab strain,5.28242374561404
82298,seg_27A,gene_3958,Lab strain,5.28242374561404
82299,seg_27A,gene_3972,Lab strain,5.28242374561404
82300,seg_27A,gene_3985,Lab strain,5.28242374561404
82301,seg_27A,gene_3998,Lab strain,5.28242374561404
82302,seg_27A,gene_4012,Lab strain,5.28242374561404
82303,seg_27A,gene_4025,Lab strain,5.28242374561404
82304,seg_27A,gene_4038,Lab strain,5.28242374561404
82305,seg_27A,gene_4052,Lab strain,5.28242374561404
82306,seg_27A,gene_4065,Lab strain,5.28242374561404
82307,seg_27A,gene_4078,Lab strain,5.28242374561404
82308,seg_27A,gene_4092,Lab strain,5.28242374561404
82309,seg_27A,gene_4105,Lab strain,5.28242374561404
82310,seg_27A,gene_4118,Lab strain,5.28242374561404
82311,seg_27A,gene_4132,Lab strain,5.28242374561404
82312,seg_27A,gene_4145,Lab strain,5.28242374561404
82313,seg_27A,gene_4158,Lab strain,5.28242374561404
82314,seg_27A,gene_4172,Lab strain,5.28242374561404
82315,seg_27A,gene_4185,Lab strain,5.28242374561404
82316,seg_27A,gene_4198,Lab strain,5.28242374561404
82317,seg_27A,gene_4212,Lab strain,5.28242374561404
82318,seg_27A,gene_4225,Lab strain,5.28242374561404
82319,seg_27A,gene_4238,Lab strain,5.28242374561404
82320,seg_27A,gene_4252,Lab strain,5.28242374561404
82321,seg_27A,gene_4265,Lab strain,5.28242374561404
82322,seg_27A,gene_4278,Lab strain,5.28242374561404
82323,seg_27A,gene_4292,Lab strain,5.28242374561404
82324,seg_27A,gene_4305,Lab strain,5.28242374561404
82325,seg_27A,gene_4318,Lab strain,5.28242374561404
82326,seg_27A,gene_4332,Lab strain,5.28242374561404
82327,seg_27A,gene_4345,Lab strain,5.28242374561404
82328,seg_27A,gene_4358,Lab strain,5.28242374561404
82329,seg_27A,gene_4372,Lab strain,5.28242374561404
82330,seg_27A,gene_4385,Lab strain,5.28242374561404
82331,seg_27A,gene_4398,Lab strain,5.28242374561404
82332,seg_27A,gene_4412,Lab strain,5.28242374561404
82333,seg_27A,gene_4425,Lab strain,5.28242374561404
82334,seg_27A,gene_4438,Lab strain,5.28242374561404
82335,seg_27A,gene_4451,Lab strain,5.28242374561404
82336,seg_27A,gene_4465,Lab strain,5.28242374561404
82337,seg_27A,gene_4478,Lab strain,5.28242374561404
82338,seg_27A,gene_4491,Lab strain,5.28242374561404
82339,seg_27A,gene_4505,Lab strain,5.28242374561404
82340,seg_27A,gene_4518,Wild isolate,5.28242374561404
82341,seg_27A,gene_4531,Wild isolate,5.28242374561404
82342,seg_27A,gene_4545,Wild isolate,5.28242374561404
82343,seg_27A,gene_4558,Wild isolate,5.28242374561404
82344,seg_27A,gene_4571,Wild isolate,5.28242374561404
82345,seg_27A,gene_4585,Wild isolate,5.28242374561404
82346,seg_27A,gene_4598,Wild isolate,5.28242374561404
82347,seg_27A,gene_4611,Wild isolate,5.28242374561404
82348,seg_27A,gene_4625,Wild isolate,5.28242374561404
82349,seg_27A,gene_4638,Wild isolate,5.28242374561404
82350,seg_27A,gene_4651,Wild isolate,5.28242374561404
82351,seg_27A,gene_4665,Lab strain,5.28242374561404
82352,seg_27A,gene_4678,Lab strain,5.28242374561404
82353,seg_27A,gene_4691,Lab strain,5.28242374561404
82354,seg_27A,gene_4705,Lab strain,5.28242374561404
82355,seg_27A,gene_4718,Wild isolate,5.28242374561404
82356,seg_27A,gene_4731,Wild isolate,5.28242374561404
82357,seg_27A,gene_4745,Lab strain,5.28242374561404
82358,seg_27A,gene_4758,Lab strain,5.28242374561404
82359,seg_27A,gene_4771,Lab strain,5.28242374561404
82360,seg_27A,gene_4785,Lab strain,5.28242374561404
82361,seg_27A,gene_4798,Lab strain,5.28242374561404
82362,seg_27A,gene_4811,Lab strain,5.28242374561404
82363,seg_27A,gene_4825,Lab strain,5.28242374561404
82364,seg_27A,gene_4838,Lab strain,5.28242374561404
82365,seg_27A,gene_4851,Wild isolate,5.28242374561404
82366,seg_27A,gene_4865,Wild isolate,5.28242374561404
82367,seg_27A,gene_4878,Lab strain,5.28242374561404
82368,seg_27A,gene_4891,Lab strain,5.28242374561404
82369,seg_27A,gene_4905,Lab strain,5.28242374561404
82370,seg_27A,gene_4918,Lab strain,5.28242374561404
82371,seg_27A,gene_4931,Lab strain,5.28242374561404
82372,seg_27A,gene_4945,Lab strain,5.28242374561404
82373,seg_27A,gene_4958,Lab strain,5.28242374561404
82374,seg_27A,gene_4971,Lab strain,5.28242374561404
82375,seg_27A,gene_4985,Lab strain,5.28242374561404
82376,seg_27A,gene_4998,Wild isolate,5.28242374561404
82377,seg_27A,gene_5011,Wild isolate,5.28242374561404
82378,seg_27A,gene_5025,Wild isolate,5.28242374561404
82379,seg_27A,gene_5038,Wild isolate,5.28242374561404
82380,seg_27A,gene_5051,Wild isolate,5.28242374561404
82381,seg_27A,gene_5065,Wild isolate,5.28242374561404
82382,seg_27A,gene_5078,Wild isolate,5.28242374561404
82383,seg_27A,gene_5091,Wild isolate,5.28242374561404
82384,seg_27A,gene_5104,Wild isolate,5.28242374561404
82385,seg_27A,gene_5118,Wild isolate,5.28242374561404
82386,seg_27A,gene_5131,Wild isolate,5.28242374561404
82387,seg_27A,gene_5144,Lab strain,5.28242374561404
82388,seg_27A,gene_5158,Lab strain,5.28242374561404
82389,seg_27A,gene_5171,Lab strain,5.28242374561404
82390,seg_27A,gene_5184,Lab strain,5.28242374561404
82391,seg_27A,gene_5198,Lab strain,5.28242374561404
82392,seg_27A,gene_5211,Lab strain,5.28242374561404
82393,seg_27A,gene_5224,Lab strain,5.28242374561404
82394,seg_27A,gene_5238,Lab strain,5.28242374561404
82395,seg_27A,gene_5251,Wild isolate,5.28242374561404
82396,seg_27A,gene_5264,Wild isolate,5.28242374561404
82397,seg_27A,gene_5278,Lab strain,5.28242374561404
82398,seg_27A,gene_5291,Lab strain,5.28242374561404
82399,seg_27A,gene_5304,Lab strain,5.28242374561404
82400,seg_27A,gene_5318,Lab strain,5.28242374561404
82401,seg_27A,gene_5331,Lab strain,5.28242374561404
82402,seg_27A,gene_5344,Lab strain,5.28242374561404
82403,seg_27A,gene_5358,Lab strain,5.28242374561404
82404,seg_27A,gene_5371,Lab strain,5.28242374561404
82405,seg_27A,gene_5384,Lab strain,5.28242374561404
82406,seg_27A,gene_5398,Lab strain,5.28242374561404
82407,seg_27A,gene_5411,Lab strain,5.28242374561404
82408,seg_27A,gene_5424,Wild isolate,5.28242374561404
82409,seg_27A,gene_5438,Wild isolate,5.28242374561404
82410,seg_27A,gene_5451,Wild isolate,5.28242374561404
82411,seg_27A,gene_5464,Lab strain,5.28242374561404
82412,seg_27A,gene_5478,Lab strain,5.28242374561404
82413,seg_27A,gene_5491,Lab strain,5.28242374561404
82414,seg_27A,gene_5504,Lab strain,5.28242374561404
82415,seg_27A,gene_5518,Lab strain,5.28242374561404
82416,seg_27A,gene_5531,Lab strain,5.28242374561404
82417,seg_27A,gene_5544,Lab strain,5.28242374561404
82418,seg_27A,gene_5558,Lab strain,5.28242374561404
82419,seg_27A,gene_5571,Wild isolate,5.28242374561404
82420,seg_27A,gene_5584,Wild isolate,5.28242374561404
82421,seg_27A,gene_5598,Wild isolate,5.28242374561404
82422,seg_27A,gene_5611,Wild isolate,5.28242374561404
82423,seg_27A,gene_5624,Wild isolate,5.28242374561404
82424,seg_27A,gene_5638,Wild isolate,5.28242374561404
82425,seg_27A,gene_5651,Wild isolate,5.28242374561404
82426,seg_27A,gene_5664,Wild isolate,5.28242374561404
82427,seg_27A,gene_5678,Wild isolate,5.28242374561404
82428,seg_27A,gene_5691,Wild isolate,5.28242374561404
82429,seg_27A,gene_5704,Lab strain,5.28242374561404
82430,seg_27A,gene_5717,Lab strain,5.28242374561404
82431,seg_27A,gene_5731,Lab strain,5.28242374561404
82432,seg_27A,gene_5744,Lab strain,5.28242374561404
82433,seg_27A,gene_5757,Lab strain,5.28242374561404
82434,seg_27A,gene_5771,Wild isolate,5.28242374561404
82435,seg_27A,gene_5784,Wild isolate,5.28242374561404
82436,seg_27A,gene_5797,Wild isolate,5.28242374561404
82437,seg_27A,gene_5811,Wild isolate,5.28242374561404
82438,seg_27A,gene_5824,Wild isolate,5.28242374561404
82439,seg_27A,gene_5837,Wild isolate,5.28242374561404
82440,seg_27A,gene_5851,Wild isolate,5.28242374561404
82441,seg_27A,gene_5864,Wild isolate,5.28242374561404
82442,seg_27A,gene_5877,Wild isolate,5.28242374561404
82443,seg_27A,gene_5891,Wild isolate,5.28242374561404
82444,seg_27A,gene_5904,Wild isolate,5.28242374561404
82445,seg_27A,gene_5917,Wild isolate,5.28242374561404
82446,seg_27A,gene_5931,Wild isolate,5.28242374561404
82447,seg_27A,gene_5944,Wild isolate,5.28242374561404
82448,seg_27A,gene_5957,Wild isolate,5.28242374561404
82449,seg_27A,gene_5971,Wild isolate,5.28242374561404
82450,seg_27A,gene_5984,Wild isolate,5.28242374561404
82451,seg_27A,gene_5997,Wild isolate,5.28242374561404
82452,seg_27A,gene_6011,Wild isolate,5.28242374561404
82453,seg_27A,gene_6024,Wild isolate,5.28242374561404
82454,seg_27A,gene_6037,Wild isolate,5.28242374561404
82455,seg_27A,gene_6051,Wild isolate,5.28242374561404
82456,seg_27A,gene_6064,Wild isolate,5.28242374561404
82457,seg_27A,gene_6077,Wild isolate,5.28242374561404
82458,seg_27A,gene_6091,Wild isolate,5.28242374561404
82459,seg_27A,gene_6104,Wild isolate,5.28242374561404
82460,seg_27A,gene_6117,Wild isolate,5.28242374561404
82461,seg_27A,gene_6131,Wild isolate,5.28242374561404
82462,seg_27A,gene_6144,Wild isolate,5.28242374561404
82463,seg_27A,gene_6157,Lab strain,5.28242374561404
82464,seg_27A,gene_6171,Lab strain,5.28242374561404
82465,seg_27A,gene_6184,Lab strain,5.28242374561404
82466,seg_27A,gene_6197,Lab strain,5.28242374561404
82467,seg_27A,gene_6211,Lab strain,5.28242374561404
82468,seg_27A,gene_6224,Lab strain,5.28242374561404
82469,seg_27A,gene_6237,Lab strain,5.28242374561404
82470,seg_27A,gene_6251,Lab strain,5.28242374561404
82471,seg_27A,gene_6264,Lab strain,5.28242374561404
82472,seg_27A,gene_6277,Lab strain,5.28242374561404
82473,seg_27A,gene_6291,Lab strain,5.28242374561404
82474,seg_27A,gene_6304,Lab strain,5.28242374561404
82475,seg_27A,gene_6317,Lab strain,5.28242374561404
82476,seg_27A,gene_6331,Lab strain,5.28242374561404
82477,seg_27A,gene_6344,Wild isolate,5.28242374561404
82478,seg_27A,gene_6357,Wild isolate,5.28242374561404
82479,seg_27A,gene_6370,Wild isolate,5.28242374561404
82480,seg_27A,gene_6384,Wild isolate,5.28242374561404
82481,seg_27A,gene_6397,Wild isolate,5.28242374561404
82482,seg_27A,gene_6410,Wild isolate,5.28242374561404
82483,seg_27A,gene_6424,Wild isolate,5.28242374561404
82484,seg_27A,gene_6437,Wild isolate,5.28242374561404
82485,seg_27A,gene_6450,Wild isolate,5.28242374561404
82486,seg_27A,gene_6464,Wild isolate,5.28242374561404
82487,seg_27A,gene_6477,Wild isolate,5.28242374561404
82488,seg_27A,gene_6490,Wild isolate,5.28242374561404
82489,seg_27A,gene_6504,Wild isolate,5.28242374561404
82490,seg_27A,gene_6517,Wild isolate,5.28242374561404
82491,seg_27A,gene_6530,Wild isolate,5.28242374561404
82492,seg_27A,gene_6544,Wild isolate,5.28242374561404
82493,seg_27A,gene_6557,Wild isolate,5.28242374561404
82494,seg_27A,gene_6570,Wild isolate,5.28242374561404
82495,seg_27A,gene_6584,Lab strain,5.28242374561404
82496,seg_27A,gene_6597,Lab strain,5.28242374561404
82497,seg_27A,gene_6610,Lab strain,5.28242374561404
82498,seg_27A,gene_6624,Lab strain,5.28242374561404
82499,seg_27A,gene_6637,Lab strain,5.28242374561404
82500,seg_27A,gene_6650,Lab strain,5.28242374561404
82501,seg_27A,gene_6664,Lab strain,5.28242374561404
82502,seg_27A,gene_6677,Lab strain,5.28242374561404
82503,seg_27A,gene_6690,Lab strain,5.28242374561404
82504,seg_27A,gene_6704,Lab strain,5.28242374561404
82505,seg_27A,gene_6717,Lab strain,5.28242374561404
82506,seg_27A,gene_6730,Lab strain,5.28242374561404
82507,seg_27A,gene_6744,Lab strain,5.28242374561404
82508,seg_27A,gene_6757,Lab strain,5.28242374561404
82509,seg_27A,gene_6770,Lab strain,5.28242374561404
82510,seg_27A,gene_6784,Lab strain,5.28242374561404
82511,seg_27A,gene_6797,Lab strain,5.28242374561404
82512,seg_27A,gene_6810,Lab strain,5.28242374561404
82513,seg_27A,gene_6824,Wild isolate,5.28242374561404
82514,seg_27A,gene_6837,Wild isolate,5.28242374561404
82515,seg_27A,gene_6850,Wild isolate,5.28242374561404
82516,seg_27A,gene_6864,Wild isolate,5.28242374561404
82517,seg_27A,gene_6877,Wild isolate,5.28242374561404
82518,seg_27A,gene_6890,Wild isolate,5.28242374561404
82519,seg_27A,gene_6904,Wild isolate,5.28242374561404
82520,seg_27A,gene_6917,Wild isolate,5.28242374561404
82521,seg_27A,gene_6930,Wild isolate,5.28242374561404
82522,seg_27A,gene_6944,Wild isolate,5.28242374561404
82523,seg_27A,gene_6957,Wild isolate,5.28242374561404
82524,seg_27A,gene_6970,Wild isolate,5.28242374561404
82525,seg_27A,gene_6983,Wild isolate,5.28242374561404
82526,seg_27A,gene_6997,Wild isolate,5.28242374561404
82527,seg_27A,gene_7010,Wild isolate,5.28242374561404
82528,seg_27A,gene_7023,Wild isolate,5.28242374561404
82529,seg_27A,gene_7037,Wild isolate,5.28242374561404
82530,seg_27A,gene_7050,Wild isolate,5.28242374561404
82531,seg_27A,gene_7063,Wild isolate,5.28242374561404
82532,seg_27A,gene_7077,Wild isolate,5.28242374561404
82533,seg_27A,gene_7090,Lab strain,5.28242374561404
82534,seg_27A,gene_7103,Lab strain,5.28242374561404
82535,seg_27A,gene_7117,Wild isolate,5.28242374561404
82536,seg_27A,gene_7130,Wild isolate,5.28242374561404
82537,seg_27A,gene_7143,Wild isolate,5.28242374561404
82538,seg_27A,gene_7157,Wild isolate,5.28242374561404
82539,seg_27A,gene_7170,Lab strain,5.28242374561404
82540,seg_27A,gene_7183,Lab strain,5.28242374561404
82541,seg_27A,gene_7197,Lab strain,5.28242374561404
82542,seg_27A,gene_7210,Lab strain,5.28242374561404
82543,seg_27A,gene_7223,Lab strain,5.28242374561404
82544,seg_27A,gene_7237,Lab strain,5.28242374561404
82545,seg_27A,gene_7250,Lab strain,5.28242374561404
82546,seg_27A,gene_7263,Lab strain,5.28242374561404
82547,seg_27A,gene_7277,Lab strain,5.28242374561404
82548,seg_27A,gene_7290,Lab strain,5.28242374561404
82549,seg_27A,gene_7303,Lab strain,5.28242374561404
82550,seg_27A,gene_7317,Lab strain,5.28242374561404
82551,seg_27A,gene_7330,Lab strain,5.28242374561404
82552,seg_27A,gene_7343,Lab strain,5.28242374561404
82553,seg_27A,gene_7357,Lab strain,5.28242374561404
82554,seg_27A,gene_7370,Lab strain,5.28242374561404
82555,seg_27A,gene_7383,Lab strain,5.28242374561404
82556,seg_27A,gene_7397,Lab strain,5.28242374561404
82557,seg_27A,gene_7410,Lab strain,5.28242374561404
82558,seg_27A,gene_7423,Wild isolate,5.28242374561404
82559,seg_27A,gene_7437,Wild isolate,5.28242374561404
82560,seg_27A,gene_7450,Wild isolate,5.28242374561404
82561,seg_27A,gene_7463,Wild isolate,5.28242374561404
82562,seg_27A,gene_7477,Wild isolate,5.28242374561404
82563,seg_27A,gene_7490,Wild isolate,5.28242374561404
82564,seg_27A,gene_7503,Wild isolate,5.28242374561404
82565,seg_27A,gene_7517,Wild isolate,5.28242374561404
82566,seg_27A,gene_7530,Wild isolate,5.28242374561404
82567,seg_27A,gene_7543,Wild isolate,5.28242374561404
82568,seg_27A,gene_7557,Wild isolate,5.28242374561404
82569,seg_27A,gene_7570,Wild isolate,5.28242374561404
82570,seg_27A,gene_7583,Wild isolate,5.28242374561404
82571,seg_27A,gene_7597,Wild isolate,5.28242374561404
82572,seg_27A,gene_7610,Wild isolate,5.28242374561404
82573,seg_27A,gene_7623,Lab strain,5.28242374561404
82574,seg_27A,gene_7636,Lab strain,5.28242374561404
82575,seg_27A,gene_7650,Lab strain,5.28242374561404
82576,seg_27A,gene_7663,Lab strain,5.28242374561404
82577,seg_27A,gene_7676,Lab strain,5.28242374561404
82578,seg_27A,gene_7690,Lab strain,5.28242374561404
82579,seg_27A,gene_7703,Wild isolate,5.28242374561404
82580,seg_27A,gene_7716,Wild isolate,5.28242374561404
82581,seg_27A,gene_7730,Wild isolate,5.28242374561404
82582,seg_27A,gene_7743,Wild isolate,5.28242374561404
82583,seg_27A,gene_7756,Wild isolate,5.28242374561404
82584,seg_27A,gene_7770,Wild isolate,5.28242374561404
82585,seg_27A,gene_7783,Wild isolate,5.28242374561404
82586,seg_27A,gene_7796,Wild isolate,5.28242374561404
82587,seg_27A,gene_7810,Wild isolate,5.28242374561404
82588,seg_27A,gene_7823,Wild isolate,5.28242374561404
82589,seg_27A,gene_7836,Wild isolate,5.28242374561404
82590,seg_27A,gene_7850,Wild isolate,5.28242374561404
82591,seg_27A,gene_7863,Lab strain,5.28242374561404
82592,seg_27A,gene_7876,Lab strain,5.28242374561404
82593,seg_27A,gene_7890,Lab strain,5.28242374561404
82594,seg_27A,gene_7903,Lab strain,5.28242374561404
82595,seg_27A,gene_7916,Lab strain,5.28242374561404
82596,seg_27A,gene_7930,Lab strain,5.28242374561404
82597,seg_27A,gene_7943,Lab strain,5.28242374561404
82598,seg_27A,gene_7956,Lab strain,5.28242374561404
82599,seg_27A,gene_7970,Lab strain,5.28242374561404
82600,seg_27A,gene_7983,Lab strain,5.28242374561404
82601,seg_27A,gene_7996,Lab strain,5.28242374561404
82602,seg_27A,gene_8010,Lab strain,5.28242374561404
82603,seg_27A,gene_8023,Lab strain,5.28242374561404
82604,seg_27A,gene_8036,Lab strain,5.28242374561404
82605,seg_27A,gene_8050,Lab strain,5.28242374561404
82606,seg_27A,gene_8063,Lab strain,5.28242374561404
82607,seg_27A,gene_8076,Lab strain,5.28242374561404
82608,seg_27A,gene_8090,Lab strain,5.28242374561404
82609,seg_27A,gene_8103,Lab strain,5.28242374561404
82610,seg_27A,gene_8116,Lab strain,5.28242374561404
82611,seg_27A,gene_8130,Lab strain,5.28242374561404
82612,seg_27A,gene_8143,Wild isolate,5.28242374561404
82613,seg_27A,gene_8156,Wild isolate,5.28242374561404
82614,seg_27A,gene_8170,Wild isolate,5.28242374561404
82615,seg_27A,gene_8183,Wild isolate,5.28242374561404
82616,seg_27A,gene_8196,Lab strain,5.28242374561404
82617,seg_27A,gene_8210,Lab strain,5.28242374561404
82618,seg_27A,gene_8223,Lab strain,5.28242374561404
82619,seg_27A,gene_8236,Lab strain,5.28242374561404
82620,seg_27A,gene_8249,Lab strain,5.28242374561404
82621,seg_27A,gene_8263,Lab strain,5.28242374561404
82622,seg_27A,gene_8276,Lab strain,5.28242374561404
82623,seg_27A,gene_8289,Lab strain,5.28242374561404
82624,seg_27A,gene_8303,Lab strain,5.28242374561404
82625,seg_27A,gene_8316,Lab strain,5.28242374561404
82626,seg_27A,gene_8329,Lab strain,5.28242374561404
82627,seg_27A,gene_8343,Lab strain,5.28242374561404
82628,seg_27A,gene_8356,Lab strain,5.28242374561404
82629,seg_27A,gene_8369,Lab strain,5.28242374561404
82630,seg_27A,gene_8383,Lab strain,5.28242374561404
82631,seg_27A,gene_8396,Lab strain,5.28242374561404
82632,seg_27A,gene_8409,Lab strain,5.28242374561404
82633,seg_27A,gene_8423,Lab strain,5.28242374561404
82634,seg_27A,gene_8436,Lab strain,5.28242374561404
82635,seg_27A,gene_8449,Lab strain,5.28242374561404
82636,seg_27A,gene_8463,Lab strain,5.28242374561404
82637,seg_27A,gene_8476,Lab strain,5.28242374561404
82638,seg_27A,gene_8489,Lab strain,5.28242374561404
82639,seg_27A,gene_8503,Lab strain,5.28242374561404
82640,seg_27A,gene_8516,Lab strain,5.28242374561404
82641,seg_27A,gene_8529,Lab strain,5.28242374561404
82642,seg_27A,gene_8543,Lab strain,5.28242374561404
82643,seg_27A,gene_8556,Lab strain,5.28242374561404
82644,seg_27A,gene_8569,Wild isolate,5.28242374561404
82645,seg_27A,gene_8583,Wild isolate,5.28242374561404
82646,seg_27A,gene_8596,Wild isolate,5.28242374561404
82647,seg_27A,gene_8609,Wild isolate,5.28242374561404
82648,seg_27A,gene_8623,Wild isolate,5.28242374561404
82649,seg_27A,gene_8636,Wild isolate,5.28242374561404
82650,seg_27A,gene_8649,Wild isolate,5.28242374561404
82651,seg_27A,gene_8663,Wild isolate,5.28242374561404
82652,seg_27A,gene_8676,Wild isolate,5.28242374561404
82653,seg_27A,gene_8689,Wild isolate,5.28242374561404
82654,seg_27A,gene_8703,Wild isolate,5.28242374561404
82655,seg_27A,gene_8716,Wild isolate,5.28242374561404
82656,seg_27A,gene_8729,Wild isolate,5.28242374561404
82657,seg_27A,gene_8743,Wild isolate,5.28242374561404
82658,seg_27A,gene_8756,Wild isolate,5.28242374561404
82659,seg_27A,gene_8769,Wild isolate,5.28242374561404
82660,seg_27A,gene_8783,Wild isolate,5.28242374561404
82661,seg_27A,gene_8796,Wild isolate,5.28242374561404
82662,seg_27A,gene_8809,Wild isolate,5.28242374561404
82663,seg_27A,gene_8823,Wild isolate,5.28242374561404
82664,seg_27A,gene_8836,Wild isolate,5.28242374561404
82665,seg_27A,gene_8849,Wild isolate,5.28242374561404
82666,seg_27A,gene_8863,Wild isolate,5.28242374561404
82667,seg_27A,gene_8876,Wild isolate,5.28242374561404
82668,seg_27A,gene_8889,Lab strain,5.28242374561404
82669,seg_27A,gene_8902,Lab strain,5.28242374561404
82670,seg_27A,gene_8916,Lab strain,5.28242374561404
82671,seg_27A,gene_8929,Lab strain,5.28242374561404
82672,seg_27A,gene_8942,Lab strain,5.28242374561404
82673,seg_27A,gene_8956,Lab strain,5.28242374561404
82674,seg_27A,gene_8969,Lab strain,5.28242374561404
82675,seg_27A,gene_8982,Lab strain,5.28242374561404
82676,seg_27A,gene_8996,Wild isolate,5.28242374561404
82677,seg_27A,gene_9009,Wild isolate,5.28242374561404
82678,seg_27A,gene_9022,Wild isolate,5.28242374561404
82679,seg_27A,gene_9036,Lab strain,5.28242374561404
82680,seg_27A,gene_9049,Lab strain,5.28242374561404
82681,seg_27A,gene_9062,Lab strain,5.28242374561404
82682,seg_27A,gene_9076,Lab strain,5.28242374561404
82683,seg_27A,gene_9089,Wild isolate,5.28242374561404
82684,seg_27A,gene_9102,Wild isolate,5.28242374561404
82685,seg_27A,gene_9116,Wild isolate,5.28242374561404
82686,seg_27A,gene_9129,Wild isolate,5.28242374561404
82687,seg_27A,gene_9142,Wild isolate,5.28242374561404
82688,seg_27A,gene_9156,Wild isolate,5.28242374561404
82689,seg_27A,gene_9169,Wild isolate,5.28242374561404
82690,seg_27A,gene_9182,Wild isolate,5.28242374561404
82691,seg_27A,gene_9196,Wild isolate,5.28242374561404
82692,seg_27A,gene_9209,Lab strain,5.28242374561404
82693,seg_27A,gene_9222,Lab strain,5.28242374561404
82694,seg_27A,gene_9236,Lab strain,5.28242374561404
82695,seg_27A,gene_9249,Lab strain,5.28242374561404
82696,seg_27A,gene_9262,Lab strain,5.28242374561404
82697,seg_27A,gene_9276,Lab strain,5.28242374561404
82698,seg_27A,gene_9289,Lab strain,5.28242374561404
82699,seg_27A,gene_9302,Lab strain,5.28242374561404
82700,seg_27A,gene_9316,Lab strain,5.28242374561404
82701,seg_27A,gene_9329,Lab strain,5.28242374561404
82702,seg_27A,gene_9342,Lab strain,5.28242374561404
82703,seg_27A,gene_9356,Lab strain,5.28242374561404
82704,seg_27A,gene_9369,Lab strain,5.28242374561404
82705,seg_27A,gene_9382,Lab strain,5.28242374561404
82706,seg_27A,gene_9396,Lab strain,5.28242374561404
82707,seg_27A,gene_9409,Lab strain,5.28242374561404
82708,seg_27A,gene_9422,Lab strain,5.28242374561404
82709,seg_27A,gene_9436,Lab strain,5.28242374561404
82710,seg_27A,gene_9449,Lab strain,5.28242374561404
82711,seg_27A,gene_9462,Lab strain,5.28242374561404
82712,seg_27A,gene_9476,Lab strain,5.28242374561404
82713,seg_27A,gene_9489,Lab strain,5.28242374561404
82714,seg_27A,gene_9502,Wild isolate,5.28242374561404
82715,seg_27A,gene_9515,Wild isolate,5.28242374561404
82716,seg_27A,gene_9529,Wild isolate,5.28242374561404
82717,seg_27A,gene_9542,Wild isolate,5.28242374561404
82718,seg_27A,gene_9555,Wild isolate,5.28242374561404
82719,seg_27A,gene_9569,Wild isolate,5.28242374561404
82720,seg_27A,gene_9582,Wild isolate,5.28242374561404
